# text|difficulty|description|synonyms
Екологія|hard|наука про взаємодію природи|довкілля, природа
Експансія|hard|розширення впливу або території|розширення, поширення
Експеримент|hard|дослід для перевірки|дослід, перевірка
Еліта|hard|впливова верхівка суспільства|верхівка, знать
Емпатія|hard|розуміння чужих почуттів|співпереживання, чуйність
Ентропія|hard|міра безладу системи|хаос, розсіювання
Етика|hard|вчення про мораль|мораль, чесноти
Етимологія|hard|походження слів|походження, мовознавство
Ідентичність|hard|усвідомлення власної належності|самобутність, тотожність
Ієрархія|hard|порядок підпорядкування рівнів|система, драбина
Імператив|hard|обовʼязкова вимога|наказ, припис
Імпровізація|hard|творення без підготовки|експромт, вигадка
Індивідуальність|hard|неповторність окремої людини|особливість, самобутність
Індукція|hard|висновок від окремого|узагальнення, логіка
Інерція|hard|опір зміні руху|сталість, опір
Інновація|hard|нове практичне рішення|нововведення, винахід
Інтерпретація|hard|пояснення змісту|тлумачення, трактування
Інфляція|hard|знецінення грошей|подорожчання, знецінення
Ірраціональність|hard|відсутність логічної основи|нелогічність, хаотичність
Канон|hard|визнане правило або зразок|правило, норма
Капітал|hard|сукупність ресурсів вартості|майно, ресурси
Карма|hard|наслідок учинків людини|відплата, доля
Категорія|hard|загальний клас понять|група, клас
Катарсис|hard|очищення через переживання|звільнення, очищення
Квант|hard|найменша порція енергії|частка, порція
Кібернетика|hard|наука про керування системами|управління, система
Класицизм|hard|мистецький напрям порядку|стиль, напрям
Когніція|hard|процес пізнання і мислення|пізнання, мислення
Колонізація|hard|освоєння чужих територій|заселення, експансія
Компроміс|hard|угода через взаємні поступки|згода, домовленість
Консенсус|hard|спільна згода сторін|згода, порозуміння
Консерватизм|hard|прихильність до традицій|традиціоналізм, обережність
Конституція|hard|основний закон держави|закон, статут
Контекст|hard|обставини значення вислову|середовище, умови
Контраст|hard|різка відмінність|протилежність, різниця
Кореляція|hard|взаємний звʼязок явищ|звʼязок, залежність
Космологія|hard|вчення про Всесвіт|світобудова, космос
Критерій|hard|ознака для оцінювання|мірило, ознака
Лібералізм|hard|ідеологія особистих свобод|свобода, права
Літургія|hard|урочисте богослужіння|служба, обряд
Магнетизм|hard|властивість притягання полів|поле, притягання
Маніфест|hard|публічне програмне звернення|заява, декларація
Маніпуляція|hard|прихований вплив на людину|вплив, хитрість
Метафізика|hard|вчення про першооснови буття|буття, філософія
Методологія|hard|система методів дослідження|методи, підхід
Міграція|hard|переміщення людей або тварин|переселення, рух
Модернізм|hard|мистецький напрям оновлення|новаторство, стиль
Монархія|hard|влада спадкового правителя|королівство, царство
Монополія|hard|одноосібне право на ринок|панування, винятковість
Мораль|hard|норми добра і зла|етика, чесноти
Наратив|hard|спосіб розповіді подій|оповідь, історія
Нейтралітет|hard|невтручання у конфлікт|безсторонність, відсторонення
Нігілізм|hard|заперечення усталених цінностей|заперечення, руйнація
Ноосфера|hard|сфера людського розуму|розум, цивілізація
Обʼєктивність|hard|незалежність від особистих оцінок|неупередженість, точність
Олігархія|hard|влада невеликої багатої групи|верхівка, еліта
Онтологія|hard|вчення про буття|буття, сутність
Опозиція|hard|сила проти чинної влади|протидія, суперництво
Оригінальність|hard|власна неповторна форма|самобутність, новизна
Парадигма|hard|панівна модель мислення|модель, зразок
Патріархат|hard|суспільна влада чоловіків|традиція, ієрархія
Пацифізм|hard|відмова від війни|миролюбство, ненасильство
Перспектива|hard|можливість майбутнього розвитку|можливість, виднокрай
Плагіат|hard|привласнення чужого твору|крадіжка, копіювання
Плюралізм|hard|наявність багатьох поглядів|різноманіття, багатоголосся
Постмодернізм|hard|напрям гри зі змістами|іронія, деконструкція
Потенціал|hard|прихована можливість розвитку|можливість, ресурс
Прагматизм|hard|орієнтація на користь|практичність, вигода
Прецедент|hard|попередній показовий випадок|приклад, випадок
Принцип|hard|основне правило дії|правило, засада
Прогрес|hard|рух до кращого стану|розвиток, поступ
Пропаганда|hard|поширення ідей для впливу|агітація, вплив
Протокол|hard|офіційний порядок дій|правила, запис
Раціональність|hard|логічна обґрунтованість дій|розумність, логіка
Релятивізм|hard|залежність істини від умов|відносність, умовність
Ренесанс|hard|епоха відродження культури|відродження, гуманізм
Репутація|hard|суспільна думка про людину|імідж, слава
Реформація|hard|релігійно-суспільне оновлення|зміна, перетворення
Риторика|hard|мистецтво переконливого мовлення|красномовство, промова
Сакральність|hard|звʼязок зі святістю|святість, священність
Санкція|hard|офіційне покарання або дозвіл|обмеження, дозвіл
Сарказм|hard|їдка насмішка|іронія, глузування
Свідомість|hard|здатність усвідомлювати світ|розум, психіка
Секуляризація|hard|відокремлення від релігії|світськість, відокремлення
Семантика|hard|значення мовних одиниць|значення, зміст
Симулякр|hard|копія без справжнього оригіналу|образ, імітація
Синтез|hard|поєднання частин у ціле|обʼєднання, злиття
Солідарність|hard|єдність підтримки між людьми|єдність, підтримка
Суверенітет|hard|незалежна влада держави|незалежність, самостійність
Схоластика|hard|середньовічна школа логіки|вчення, догматика
Тавтологія|hard|повторення того самого змісту|повтор, надмірність
Теза|hard|основне твердження|думка, положення
Термодинаміка|hard|наука про тепло й енергію|тепло, енергія
Тоталітаризм|hard|повний контроль держави|диктатура, контроль
Трансформація|hard|істотна зміна форми|перетворення, зміна
Трансцендентність|hard|вихід за межі досвіду|потойбічність, межа
Урбанізація|hard|зростання ролі міст|міста, розвиток
Фаталізм|hard|віра в неминучу долю|приреченість, фатум
Феномен|hard|особливе помітне явище|явище, подія
Феноменологія|hard|вчення про досвід свідомості|досвід, свідомість
Феодалізм|hard|середньовічна земельна система|васалітет, маєток
Фобія|hard|навʼязливий сильний страх|страх, острах
Формалізм|hard|перевага форми над змістом|форма, правило
Фрагментація|hard|розпад на окремі частини|поділ, роздроблення
Харизма|hard|особлива сила впливу|чарівність, вплив
Хронологія|hard|послідовність подій у часі|порядок, датування
Цензура|hard|контроль змісту висловлювань|заборона, контроль
Цінність|hard|важливість для людини|вартість, значення
Шовінізм|hard|агресивна перевага своєї групи|упередження, зверхність
Юрисдикція|hard|межі правової влади|повноваження, компетенція
Автономія|hard|самостійність у керуванні|самоврядування, незалежність
Авторитет|hard|визнаний вплив особи|повага, вплив
Адаптація|hard|пристосування до умов|пристосування, зміна
Адекватність|hard|відповідність ситуації|доречність, відповідність
Альтернатива|hard|інший можливий вибір|варіант, заміна
Апологія|hard|захист ідей або особи|захист, виправдання
Архаїзм|hard|застаріле слово або явище|старовина, пережиток
Асортимент|hard|набір різних товарів|вибір, перелік
Благодійність|hard|допомога без вигоди|милосердя, доброчинність
Валюта|hard|грошова одиниця держави|гроші, обмін
Відповідальність|hard|обовʼязок за наслідки|обовʼязок, провина
Відчуження|hard|втрата близькості або належності|віддалення, ізоляція
Генеза|hard|походження і розвиток|походження, виникнення
Гіпербола|hard|художнє перебільшення|перебільшення, образ
Декларація|hard|офіційна заява|заява, проголошення
Демографія|hard|наука про населення|населення, статистика
Депортація|hard|примусове виселення людей|вигнання, виселення
Диверсифікація|hard|розширення різних напрямів|різноманіття, розподіл
Дискримінація|hard|нерівне ставлення до групи|утиск, обмеження
Експлуатація|hard|використання ресурсу або праці|використання, визиск
Ембарго|hard|заборона торгівлі|блокада, заборона
Епідемія|hard|масове поширення хвороби|спалах, зараження
Ерозія|hard|руйнування поверхні водою|розмивання, руйнування
Ескалація|hard|наростання напруження|загострення, посилення
Законність|hard|відповідність закону|правомірність, легальність
Імунітет|hard|захист організму або особи|захист, несприйнятливість
Інверсія|hard|зміна звичного порядку|перестановка, перевертання
Інфраструктура|hard|основа роботи системи|мережа, забезпечення
Катехізис|hard|короткий виклад віровчення|вчення, настанова
Коаліція|hard|союз заради спільної мети|союз, обʼєднання
Компетенція|hard|коло знань або повноважень|здатність, повноваження
Конвенція|hard|міжнародна угода|угода, договір
Конкуренція|hard|боротьба за перевагу|суперництво, змагання
Конфігурація|hard|форма розміщення частин|будова, структура
Координація|hard|узгодження спільних дій|узгодження, організація
Кульмінація|hard|найвища точка розвитку|вершина, пік
Легітимність|hard|визнана законність влади|законність, визнання
Локалізація|hard|обмеження або пристосування місця|розміщення, пристосування
Медіація|hard|посередництво у конфлікті|посередництво, примирення
Ментальність|hard|стійкий спосіб мислення|світогляд, характер
Модерація|hard|контроль правил спілкування|нагляд, регулювання
Модифікація|hard|часткова зміна обʼєкта|зміна, варіація
Номінація|hard|висування на відзнаку|висунення, кандидатура
Окупація|hard|захоплення чужої території|захоплення, контроль
Периферія|hard|віддалена зовнішня частина|околиця, край
Полеміка|hard|гостра публічна суперечка|дискусія, спір
Преамбула|hard|вступна частина документа|вступ, передмова
Приватизація|hard|перехід майна у приватність|передача, продаж
Проєкція|hard|відображення форми на площині|відображення, тінь
Радикалізм|hard|прагнення різких змін|крайність, рішучість
Резолюція|hard|офіційне рішення зборів|рішення, постанова
Реконструкція|hard|відновлення первісного вигляду|відбудова, відтворення
Репресія|hard|каральний тиск влади|переслідування, покарання
Рецесія|hard|спад економічної активності|спад, криза
Самоідентифікація|hard|визначення власної належності|усвідомлення, належність
Сегрегація|hard|примусове відокремлення груп|поділ, ізоляція
Симетрія|hard|дзеркальна відповідність частин|рівновага, відповідність
Соціалізація|hard|входження людини в суспільство|пристосування, навчання
Спекуляція|hard|ризикована вигода на різниці|припущення, оборудка
Стагнація|hard|зупинка розвитку|застій, нерухомість
Стратегія|hard|загальний план досягнення мети|план, задум
Субординація|hard|службове підпорядкування|ієрархія, підлеглість
Толерантність|hard|терпимість до відмінностей|терпимість, прийняття
Траєкторія|hard|лінія руху тіла|шлях, орбіта
Федерація|hard|союз державних частин|союз, обʼєднання
Флуктуація|hard|випадкове коливання величини|коливання, зміна
Функція|hard|роль або залежність величин|роль, призначення
Цивільність|hard|належність до громадського життя|громадянство, мирність
