# text|difficulty|description|synonyms
Клавіатура|medium|панель з клавішами|клавіші, панель
Трофей|medium|нагорода за перемогу|кубок, приз
Павук|medium|членистонога істота з вісьмома ногами|арахнід
Бензин|medium|пальне для двигуна|паливо
Рукавиця|medium|одяг для руки|перчатка
Скрипка|medium|струнний музичний інструмент|інструмент
Книга|medium|зшиті сторінки для читання|книжка, том
Карандаш|medium|олівець для писання|олівець
Малюнок|medium|зображення намальоване рукою|картинка, рисунок
Футболка|medium|легкий одяг для тулуба|майка, сорочка
Лист|medium|письмове повідомлення або частина рослини|послання, аркуш
Пилосос|medium|прилад для прибирання пилу|порохотяг
Слоненя|medium|дитинча слона|маля слона
Голка|medium|тонкий гострий предмет для шиття|шпилька, голочка
Гітара|medium|струнний музичний інструмент|інструмент
Блокнот|medium|зошит для коротких записів|нотатник
Пояс|medium|стрічка для тримання одягу|ремінь, пасок
Струм|medium|рух електричних зарядів|електрика, потік
Вішак|medium|предмет для підвішування одягу|плечики, гачок
Щітка|medium|предмет з ворсом для чищення|щіточка
Барабан|medium|ударний музичний інструмент|інструмент
Котушка|medium|циліндр для намотування нитки|бобіна, шпуля
Лампа|medium|пристрій що дає світло|світильник
Майдан|medium|велика відкрита площа|площа
Каструля|medium|глибока посудина для варіння|баняк, посудина
Комір|medium|частина одягу біля шиї|воротник
Хижа|medium|маленьке просте житло|хатина, халупа
Бібліотекар|medium|працівник бібліотеки|книгар, працівник
Гумка|medium|предмет для стирання олівця|ластик
Скарб|medium|цінності заховані в тайнику|коштовність, багатство
Ластик|medium|гумка для стирання|гумка
Літак|medium|повітряний транспорт з крилами|аероплан, літальний апарат
Самокат|medium|транспорт з кермом і дошкою|скутер
Медуза|medium|морська тварина з щупальцями|тварина
Карта|medium|зображення місцевості на папері|мапа, план
Замок|medium|фортеця або пристрій для дверей|фортеця, засув
Коза|medium|рогата свійська тварина|тварина
Майстер|medium|людина з умілими руками|фахівець, ремісник
Скриня|medium|велика коробка для речей|ящик, короб
Діамант|medium|дорогоцінний прозорий камінь|алмаз, коштовність
Привид|medium|уявний дух померлого|дух, примара
Шоколад|medium|солодощі з какао|солодощі, плитка
Паркан|medium|огорожа навколо ділянки|тин, огорожа
Вода|medium|прозора рідина без смаку|рідина
Жираф|medium|висока тварина з довгою шиєю|тварина
Перемикач|medium|деталь для вмикання режимів|кнопка, тумблер
Пральня|medium|місце для прання речей|прачечна
Крила|medium|частини тіла або літака для польоту|крило, опора
Пальма|medium|тропічне дерево з великим листям|дерево
Велетень|medium|дуже велика людина або істота|гігант
Холодильник|medium|шафа для охолодження їжі|рефрижератор
Печаль|medium|глибокий сумний настрій|смуток, журба
Монета|medium|металеві гроші круглої форми|копійка, гроші
Чарівник|medium|людина що творить магію|маг, чаклун
Сорочка|medium|одяг з рукавами для тулуба|рубашка
Тюлень|medium|морська тварина з ластами|тварина
Повітря|medium|газова суміш для дихання|атмосфера
Бджоляр|medium|людина що доглядає бджіл|пасічник
Тарілка|medium|посудина для їжі|посуд, блюдце
Куртка|medium|верхній теплий одяг|жакет, одяг
Цукерка|medium|маленькі солодощі|солодощі, льодяник
Піраміда|medium|споруда з трикутними боками|споруда
Різак|medium|інструмент для різання|ніж, лезо
Кавун|medium|велика зелена ягода|ягода
Котлета|medium|смажений виріб з фаршу|страва, биток
Іглу|medium|снігове житло ескімосів|хатина, житло
Жук|medium|комаха з твердими крилами|комаха
Колиска|medium|дитяче ліжечко для гойдання|люлька
Куля|medium|предмет круглої форми|сфера, м'яч
Вітряк|medium|споруда що працює від вітру|млин
Парашут|medium|купол для повільного падіння|купол
Стіл|medium|меблі з поверхнею на ніжках|меблі
Ґудзик|medium|застібка на одязі|застібка
Кухар|medium|людина що готує їжу|повар
Хвіст|medium|задня частина тіла тварини|хвостик
Млин|medium|споруда для перемелювання зерна|вітряк, млинок
Бурулька|medium|крижаний наріст що звисає|лід, крижина
Пісня|medium|музичний твір зі словами|мелодія, спів
Трава|medium|низька зелена рослина|зелень, рослина
Лід|medium|замерзла вода|крига
Долина|medium|низька місцевість між горами|низина
Обійми|medium|руки навколо людини|обнімання
Малюк|medium|маленька дитина|немовля, дитя
Сир|medium|молочний харчовий продукт|творог, бринза
Фонтан|medium|струмінь води вгору|водограй
Хвіртка|medium|маленькі двері в паркані|ворітця, дверцята
Зубило|medium|інструмент для рубання металу|різець
Тканина|medium|матеріал з переплетених ниток|матерія, полотно
Балкон|medium|відкрита площадка на будівлі|лоджія
М’яч|medium|круглий предмет для гри|куля, м'ячик
Вулик|medium|будиночок для бджіл|бджолиний дім
Вітрило|medium|полотно для руху судна вітром|парус
Гойдалка|medium|сидіння що гойдається|гойданка
Цеглина|medium|будівельний блок з глини|блок, камінь
Кран|medium|пристрій для подавання води|змішувач, вентиль
Вовк|medium|дика хижа тварина|звір, хижак
Фарба|medium|кольорова речовина для покриття|барва, пігмент
Дідусь|medium|батько матері або батька|дід, старший
Ліхтар|medium|вуличний або ручний світильник|світильник
Сітка|medium|переплетення ниток з отворами|мережа
Шолом|medium|захисний головний убір|каска
Капелюх|medium|головний убір з крисами|бриль, шляпа
Телевізор|medium|пристрій для перегляду передач|екран, приймач
Ракушка|medium|тверда мушля морської тварини|мушля
Кенгуру|medium|тварина що носить маля в сумці|сумчаста тварина
Хатина|medium|маленький простий будинок|хижка, халупа
Комин|medium|труба для диму|димар
Драбина|medium|пристрій зі сходинками для підйому|сходи
Полиця|medium|горизонтальна дошка для речей|стелаж, дошка
Мікрофон|medium|пристрій для запису голосу|звукоприймач
Гігант|medium|істота дуже великого розміру|велетень
Лава|medium|розплавлена порода з вулкана|магма
Олія|medium|жирна рідина з рослин|масло
Пляшка|medium|посудина з вузькою шийкою|бутель
Диван|medium|м'які меблі для сидіння|софа, канапа
Голос|medium|звук мовлення людини|звук, мовлення
Морозиво|medium|холодні солодощі з молока|пломбір, десерт
Блок|medium|окрема частина або великий шматок|частина, модуль
Кружка|medium|посудина з ручкою для пиття|чашка
Джміль|medium|велика волохата бджола|комаха
Пелюстка|medium|частина квітки|листок квітки
Мишоловка|medium|пастка для мишей|пастка
Карниз|medium|планка над вікном або стіною|планка
Гроза|medium|буря з громом і блискавкою|буря, злива
Картопля|medium|їстівна бульба рослини|бульба
Випадок|medium|окрема подія або ситуація|подія, ситуація
Змія|medium|плазун без ніг|гадюка, плазун
Кухня|medium|кімната для приготування їжі|їдальня
Корабель|medium|велике судно для плавання|судно
Мітла|medium|предмет для підмітання|віник
Календар|medium|таблиця днів і місяців|датник
Лавина|medium|маса снігу що падає з гори|снігопад, обвал
Підказка|medium|натяк для правильного рішення|натяк, допомога
Радіо|medium|пристрій або зв'язок звуком|приймач, ефір
Пиріг|medium|випічка з начинкою|пиріжок, випічка
Купюра|medium|паперова грошова банкнота|банкнота, гроші
Свічка|medium|віск з ґнотом для світла|свічечка
Калькулятор|medium|прилад для обчислень|рахівниця, обчислювач
Долар|medium|американська грошова одиниця|валюта, гроші
Труба|medium|порожнистий циліндр для потоку|канал, димар
Сигнал|medium|знак або звук повідомлення|знак, імпульс
Лінія|medium|довга тонка риска|риска, межа
Килимок|medium|малий килим|доріжка, мат
Аптека|medium|місце продажу ліків|фармація
Миша|medium|малий гризун або комп'ютерний пристрій|гризун, пристрій
Квітникар|medium|людина що вирощує квіти|садівник
Комора|medium|приміщення для запасів|кладова
Колонка|medium|пристрій для відтворення звуку|динамік
Човен|medium|невелике судно на воді|лодка, судно
Принтер|medium|пристрій для друку|друкарка
Квиток|medium|документ для проходу чи поїздки|білет
Батарейка|medium|малий джерело електроенергії|елемент, акумулятор
Стіна|medium|вертикальна частина будівлі|мур
Шнурок|medium|тонка мотузка для взуття|мотузка, зав'язка
Серце|medium|орган що качає кров|орган
Шухляда|medium|висувна частина меблів|ящик
Станція|medium|місце зупинки транспорту|зупинка, вокзал
Сходи|medium|конструкція зі сходинками|драбина
Віконце|medium|маленьке вікно|вікно, отвір
Кабінет|medium|кімната для роботи або занять|офіс, кімната
Рукав|medium|частина одягу для руки|частина одягу
Туфля|medium|легке закрите взуття|взуття, черевик
Олівець|medium|предмет для писання графітом|карандаш
Склянка|medium|скляна посудина для пиття|стакан
Яйце|medium|овальна клітина птаха|яєчко
Горіх|medium|твердий плід з ядром|плід, ядро
Вітер|medium|рух повітря|повітряний потік
Електрика|medium|енергія електричних зарядів|струм, енергія
Шина|medium|гумове покриття колеса|покришка
Аркуш|medium|окремий лист паперу|лист, папір
Дзвінок|medium|звук або пристрій виклику|сигнал, дзвін
Дорога|medium|шлях для руху транспорту|шлях, траса
Крапля|medium|мала частинка рідини|краплина
Грілка|medium|предмет для зігрівання|теплодар
Обличчя|medium|передня частина голови|лице
Ґанок|medium|вхідний майданчик біля дверей|поріг, веранда
Мило|medium|засіб для миття|мийний засіб
Годинник|medium|пристрій для вимірювання часу|часомір
Кнопка|medium|деталь для натискання|клавіша
Пристрій|medium|технічний предмет для роботи|апарат, механізм
Кільце|medium|кругла прикраса на палець|перстень
Коса|medium|заплетене волосся або знаряддя|плетінка, серп
Бочка|medium|велика кругла посудина|діжка
Залізо|medium|міцний метал сірого кольору|метал
Промінь|medium|вузька смуга світла|світло, луч
Крижинка|medium|маленький шматок льоду|лід, крига
Штора|medium|тканина для закриття вікна|фіранка, завіса
Піч|medium|споруда або прилад для тепла|плита, грубка
Вилка|medium|столовий прибор із зубцями|прибор
Пульт|medium|пристрій для дистанційного керування|керування
Ніс|medium|частина обличчя для нюху|носик
Бокал|medium|скляна посудина на ніжці|келих
Молоко|medium|біла поживна рідина|напій
Мурашник|medium|житло мурах|гніздо
Сонце|medium|зоря в центрі Сонячної системи|зірка, світило
Скло|medium|твердий прозорий матеріал|шибка
Картина|medium|намальоване зображення|полотно, малюнок
Хустка|medium|тканина для голови або шиї|платок
Чайник|medium|посудина для кип'ятіння води|кетл, посудина
Пальто|medium|довгий верхній одяг|плащ, одяг
Сходинка|medium|один рівень на сходах|щабель
Прожектор|medium|потужний спрямований світильник|ліхтар, світильник
Коридор|medium|довгий прохід у будівлі|прохід
Клей|medium|речовина для склеювання|липка речовина
Біблія|medium|священна книга християн|книга, писання
Човник|medium|маленький човен|човен, лодка
Зошит|medium|зшиті аркуші для записів|тетрадь
Дзеркальце|medium|маленьке дзеркало|дзеркало
Капуста|medium|овоч із щільним листям|овоч
Аеропорт|medium|місце посадки літаків|летовище
Акваріум|medium|скляна ємність для риб|резервуар
Альбом|medium|книга для фото або малюнків|збірка
Антена|medium|пристрій для приймання сигналу|приймач
Арена|medium|місце для виступів чи змагань|майданчик
Арфа|medium|струнний музичний інструмент|інструмент
Багажник|medium|відділення авто для речей|відсік
Банкомат|medium|автомат для видачі грошей|термінал
Батон|medium|довгастий білий хліб|хліб
Башта|medium|висока споруда|вежа
Бензоколонка|medium|місце заправки пальним|заправка
Бинт|medium|медична стрічка для перев'язки|пов'язка
Блискавка|medium|яскравий електричний спалах|спалах
Браслет|medium|прикраса на зап'ястя|прикраса
Бруківка|medium|кам'яне покриття дороги|мостова
Будильник|medium|годинник із сигналом|годинник
Булавка|medium|тонка застібка з вістрям|шпилька
Вагон|medium|частина поїзда для людей чи вантажу|вагонетка
Валіза|medium|дорожня сумка для речей|чемодан
Вантаж|medium|речі для перевезення|багаж
Верба|medium|дерево з гнучкими гілками|дерево
Веселка|medium|кольорова дуга після дощу|райдуга
Витяг|medium|кабіна або платформа для підйому|ліфт
Водоспад|medium|потік води з висоти|каскад
Вокзал|medium|будівля для пасажирів транспорту|станція
Ворота|medium|широкий вхід у двір|брама
Гаманець|medium|невеликий футляр для грошей|портмоне
Глечик|medium|посудина з ручкою для напоїв|кувшин
Гніздо|medium|житло птаха для яєць|кубло
Горнятко|medium|маленька чашка для напою|чашка
Горобець|medium|малий сірий птах|пташка
Гребінець|medium|предмет для розчісування волосся|расчіска
Ґрати|medium|металева решітка на отворі|решітка
Дельфін|medium|розумний морський ссавець|ссавець
Джем|medium|солодка фруктова маса|варення
Джерело|medium|місце виходу води з землі|ключ
Диригент|medium|керівник оркестру|маестро
Довідник|medium|книга з короткими відомостями|посібник
Доміно|medium|гра з прямокутними кісточками|гра
Дошка|medium|плаский дерев'яний шматок|планка
Дріт|medium|тонка металева нитка|провід
Екскаватор|medium|машина для копання землі|техніка
Енциклопедія|medium|книга з багатьма знаннями|довідник
Жилет|medium|одяг без рукавів|безрукавка
Журнал|medium|періодичне друковане видання|часопис
Завіса|medium|тканина для закриття сцени|штора
Завод|medium|підприємство з виробництва|фабрика
Залізниця|medium|дорога для поїздів|колія
Запальничка|medium|пристрій для добування вогню|зажигалка
Зарядка|medium|пристрій для живлення батареї|адаптер
Зебра|medium|смугаста африканська тварина|тварина
Зерно|medium|насінина злакової рослини|насіння
Ікона|medium|релігійне зображення святого|образ
Кавоварка|medium|пристрій для приготування кави|машина
Кайдани|medium|металеві пута для рук|наручники
Канат|medium|товста міцна мотузка|мотузка
Караван|medium|група подорожніх або тварин|валка
Каска|medium|захисний шолом для голови|шолом
Касета|medium|носій для плівки або запису|носій
Катер|medium|невелике моторне судно|човен
Каштан|medium|дерево або його коричневий плід|плід
Кермо|medium|деталь для керування транспортом|руль
Килимар|medium|майстер що робить килими|майстер
Кінозал|medium|зал для перегляду фільмів|зал
Кіоск|medium|маленький торговий павільйон|ларьок
Клапан|medium|деталь що відкриває потік|вентиль
Клітка|medium|ящик із ґратами для тварин|вольєр
Ковзанка|medium|майданчик для катання на льоду|лід
Ковзани|medium|взуття з лезами для льоду|коньки
Ковпак|medium|накривка або гострий головний убір|шапка
Колекція|medium|зібрання подібних речей|збірка
Компас|medium|прилад для визначення напрямку|орієнтир
Конверт|medium|паперовий футляр для листа|обгортка
Контейнер|medium|велика ємність для перевезення|ящик
Кора|medium|зовнішній шар дерева|оболонка
Корона|medium|царська прикраса на голову|вінець
Коробка|medium|ємність із картону чи пластику|ящик
Косинець|medium|лінійка у формі трикутника|лінійка
Кошик|medium|плетена ємність для речей|корзина
Краватка|medium|стрічка на шиї до сорочки|галстук
Крейда|medium|білий матеріал для письма|мел
Крісло|medium|м'яке сидіння зі спинкою|сидіння
Кубик|medium|малий предмет у формі куба|куб
Кувшин|medium|посудина з носиком і ручкою|глечик
Кур'єр|medium|людина що доставляє посилки|посильний
Ланцюг|medium|ряд з'єднаних металевих кілець|цеп
Лимонад|medium|солодкий газований напій|напій
Лінійка|medium|предмет для вимірювання довжини|мірка
Ліхтарня|medium|скляна частина світильника|світильник
Ложка|medium|столовий прибор для рідкої їжі|прибор
Локомотив|medium|машина що тягне поїзд|паровоз
Майстерня|medium|приміщення для ручної роботи|цех
Макет|medium|зменшена модель предмета|модель
Манекен|medium|фігура для показу одягу|модель
Маркер|medium|фломастер для поміток|фломастер
Маска|medium|накладка на обличчя|личина
Маяк|medium|вежа зі світлом для суден|світильник
Медаль|medium|кругла нагорода на стрічці|нагорода
Метелик|medium|комаха з великими крилами|комаха
Метроном|medium|прилад для відбивання ритму|пристрій
Міст|medium|споруда через річку чи дорогу|переправа
Млинок|medium|прилад для подрібнення зерен|млин
Мозаїка|medium|зображення з малих шматочків|візерунок
Молоток|medium|інструмент для забивання цвяхів|інструмент
Мотузка|medium|товста нитка для зв'язування|канат
Навушники|medium|пристрій для слухання звуку|гарнітура
Намет|medium|тимчасове житло з тканини|палатка
Насос|medium|пристрій для перекачування рідини|помпа
Ножиці|medium|інструмент з двома лезами|інструмент
Нотатник|medium|книжечка для записів|блокнот
Оберіг|medium|предмет для захисту від лиха|талісман
Обруч|medium|круглий гімнастичний предмет|кільце
Океан|medium|найбільша водна частина Землі|море
Олень|medium|рогата лісова тварина|тварина
Оркестр|medium|група музикантів|ансамбль
Павільйон|medium|невелика окрема будівля|кіоск
Пакунок|medium|загорнута річ для передачі|посилка
Палац|medium|велика розкішна будівля|замок
Панцир|medium|твердий захист тіла тварини|щит
Паспорт|medium|документ особи|документ
Педаль|medium|деталь що натискають ногою|важіль
Пекарня|medium|місце де печуть хліб|булочна
Пенал|medium|футляр для ручок і олівців|футляр
Перехрестя|medium|місце перетину доріг|роздоріжжя
Печатка|medium|відбиток або штамп|штамп
Підвал|medium|нижнє приміщення будинку|льох
Пінгвін|medium|птах що плаває і не літає|птах
Планета|medium|велике небесне тіло|світ
Плащ|medium|верхній одяг від дощу|дощовик
Пломба|medium|тверде заповнення в зубі|заповнення
Площа|medium|відкрите місце у місті|майдан
Плуг|medium|знаряддя для оранки землі|знаряддя
Портрет|medium|зображення обличчя людини|картина
Посилка|medium|пакунок відправлений поштою|пакунок
Пошта|medium|служба пересилання листів|поштамт
Прапор|medium|полотнище з символами|стяг
Прилавок|medium|стіл для продажу товарів|лавка
Причал|medium|місце стоянки суден|пірс
Провід|medium|металева жила для струму|дріт
Пудра|medium|дрібний косметичний порошок|порошок
Равлик|medium|молюск зі спіральною мушлею|слимак
Радар|medium|пристрій для виявлення об'єктів|локатор
Ранок|medium|початок дня|світанок
Ремінь|medium|пояс або приводна стрічка|пасок
Решітка|medium|конструкція з перехрещених прутів|ґрати
Робітник|medium|людина що виконує фізичну роботу|працівник
Розетка|medium|місце підключення електрики|гніздо
Ромашка|medium|біла квітка з жовтою серединою|квітка
Рубанок|medium|інструмент для стругання дерева|інструмент
Сапка|medium|знаряддя для обробки землі|мотика
Сачок|medium|сітка на ручці для ловлі|підсак
Світлина|medium|фотографічне зображення|фото
Сейф|medium|металева шафа для цінностей|сховище
Серветка|medium|невеликий шматок тканини чи паперу|салфетка
Скеля|medium|велика тверда кам'яна маса|камінь
Скринька|medium|маленька коробка для речей|шкатулка
Скульптура|medium|об'ємний художній твір|статуя
Сніжинка|medium|малий кристал снігу|кристал
Сокира|medium|інструмент для рубання|топір
Сорока|medium|чорно-білий галасливий птах|птах
Спалах|medium|коротке яскраве світло|блиск
Стадіон|medium|місце для спортивних змагань|арена
Стежка|medium|вузька доріжка для ходьби|доріжка
Сторінка|medium|один бік аркуша в книзі|аркуш
Стрічка|medium|довга вузька смуга тканини|лента
Сукня|medium|жіночий цільний одяг|плаття
Супутник|medium|тіло що обертається навколо планети|місяць
Сушарка|medium|пристрій для висушування речей|сушилка
Табличка|medium|невелика дошка з написом|знак
Термометр|medium|прилад для вимірювання температури|градусник
Торба|medium|м'яка сумка для речей|мішок
Трактор|medium|потужна машина для поля|машина
Трамвай|medium|міський транспорт на рейках|вагон
Тренажер|medium|пристрій для вправ|прилад
Трикутник|medium|фігура з трьома кутами|фігура
Троянда|medium|квітка з колючим стеблом|роза
Тунель|medium|прохід під землею або горою|прохід
Унітаз|medium|сантехнічний пристрій туалету|сантехніка
Фабрика|medium|підприємство для виробництва товарів|завод
Факел|medium|палиця з вогнем для світла|смолоскип
Фіранка|medium|легка тканина на вікні|штора
Флейта|medium|духовий музичний інструмент|інструмент
Фокусник|medium|людина що показує трюки|ілюзіоніст
Фотограф|medium|людина що робить світлини|знімкар
Футляр|medium|захисна коробка для предмета|чохол
Хвилина|medium|одиниця часу з шістдесяти секунд|мить
Хлібниця|medium|ємність для зберігання хліба|короб
Хом'як|medium|малий домашній гризун|гризун
Цвях|medium|металевий стрижень для кріплення|гвіздок
Цирк|medium|місце для акробатів і клоунів|арена
Чайка|medium|морський або річковий птах|птах
Черевик|medium|закрите взуття на ногу|взуття
Череп|medium|кісткова частина голови|кістка
Чернетка|medium|попередній варіант тексту|начерк
Човняр|medium|людина що керує човном|весляр
Шафа|medium|меблі для зберігання речей|гардероб
Шахта|medium|підземне місце видобутку|копальня
Шкатулка|medium|маленька коробка для прикрас|скринька
Шпаківня|medium|будиночок для птахів|гніздо
Шприц|medium|медичний інструмент для уколу|ін'єктор
Штурвал|medium|кермо корабля чи літака|кермо
Ювелір|medium|майстер що робить прикраси|майстер
Якір|medium|важкий гак для зупинки судна|гак
Ярмарок|medium|місце торгівлі і розваг|базар
